index,Company,TypeName,inches,screensize,resolution_width,resolution_height,ppi,touchscreen,ips_panel,cpu_brand,cpu_core,cpu_speed,ram,primary_storage_size,primary_storage_type,secondary_storage_size,secondary_storage_type,gpu_brand,OpSys,weight,price,screen_type
41,Dell,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,16,256,SSD,1024,HDD,Nvidia,windows,2.7,79867,FHD
42,Asus,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,8,1024,HDD,0,None,Nvidia,linux,2.3,27865,HD
43,Acer,Notebook,15.6,medium,1920,1080,141,0,1,Intel,Core i5,1.6,4,256,SSD,0,None,Intel,windows,2.2,36337,FHD
44,Dell,2 in 1 Convertible,17.3,large,1920,1080,127,1,0,Intel,Core i5,1.6,12,1024,HDD,0,None,Nvidia,windows,2.8,53227,FHD
45,Apple,Ultrabook,13.3,small,2560,1600,227,0,1,Intel,Core i5,2,8,256,SSD,0,None,Intel,mac,1.4,75604,QHD
47,Asus,Gaming,17.3,large,1920,1080,127,0,0,AMD,Ryzen 1700,3,8,256,SSD,1024,HDD,AMD,windows,3.2,69211,FHD
48,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,4,256,SSD,0,None,AMD,windows,2.3,34046,FHD
49,Asus,Notebook,17.3,large,1366,768,91,0,0,Intel,Pentium Quad,1.1,4,1024,HDD,0,None,Nvidia,windows,2.8,24829,HD
51,Acer,Notebook,15.6,medium,1920,1080,141,0,1,Intel,Core i7,1.8,8,256,SSD,0,None,Nvidia,windows,2.2,44809,FHD
52,HP,Notebook,15.6,medium,1920,1080,141,0,0,AMD,A6-Series 9220,2.5,4,256,SSD,0,None,AMD,windows,1.9,21232,FHD
53,HP,Notebook,13.3,small,1920,1080,166,0,0,Intel,Core i7,1.8,8,512,SSD,0,None,Intel,windows,1.5,58768,FHD
54,Acer,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2.4,4,1024,HDD,0,None,Intel,windows,2.4,20460,HD
55,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,8,256,SSD,0,None,AMD,windows,2.1,40908,FHD
56,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,128,SSD,0,None,Intel,windows,1.9,23390,FHD
57,Asus,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,4,256,SSD,0,None,Intel,windows,2,31232,HD
58,MSI,Gaming,17.3,large,1920,1080,127,0,0,Intel,Core i7,2.8,16,256,SSD,2048,HDD,Nvidia,windows,2.4,130483,FHD
59,Asus,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,256,SSD,0,None,Intel,linux,2,22111,FHD
60,Dell,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i7,1.8,16,256,SSD,2048,HDD,AMD,windows,2.8,69211,FHD
61,Dell,Ultrabook,14,medium,1920,1080,157,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.7,46833,FHD
62,Lenovo,Notebook,14,medium,1920,1080,157,0,1,Intel,Core i3,2.7,8,256,SSD,0,None,Intel,no os,1.7,31915,FHD
63,Asus,Notebook,14,medium,1920,1080,157,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.4,50137,FHD
64,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,256,SSD,0,None,Intel,windows,1.9,36763,FHD
65,Asus,Ultrabook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,16,512,SSD,0,None,Nvidia,windows,1.8,105654,FHD
66,HP,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2,4,500,HDD,0,None,AMD,windows,1.9,23373,HD
67,HP,Notebook,14,medium,1366,768,112,0,0,Intel,Celeron Dual,1.6,4,32,SSD,0,None,Intel,windows,1.4,12201,HD
68,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,4,1024,HDD,0,None,Intel,windows,1.9,29251,FHD
69,Asus,Gaming,17.3,large,1920,1080,127,0,0,Intel,Core i7,2.8,12,1024,HDD,0,None,Nvidia,linux,3,50563,FHD
70,Microsoft,Ultrabook,13.5,medium,2256,1504,201,1,0,Intel,Core i5,2.5,4,128,SSD,0,None,Intel,windows,1.3,58022,QHD
71,Dell,Ultrabook,13.3,small,1920,1080,166,0,1,Intel,Core i7,1.8,8,256,SSD,0,None,AMD,windows,1.4,50882,FHD
72,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,8,256,SSD,0,None,AMD,windows,2.2,46354,FHD
73,MSI,Gaming,17.3,large,1920,1080,127,0,0,Intel,Core i5,2.5,8,128,SSD,1024,HDD,Nvidia,windows,2.7,58342,FHD
74,Acer,Notebook,14,medium,1366,768,112,0,0,Intel,Core i3,2,8,1024,HDD,0,None,Intel,windows,2.1,20726,HD
75,Asus,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,8,1024,HDD,0,None,Nvidia,windows,2.2,50563,FHD
76,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,2048,HDD,0,None,Intel,no os,2.2,27652,FHD
77,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,8,128,SSD,1024,HDD,Intel,windows,2,45554,FHD
78,Acer,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2.7,4,1024,HDD,0,None,Nvidia,windows,2.2,28238,FHD
79,HP,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i5,1.6,8,128,SSD,1024,HDD,Nvidia,windows,2.5,52055,FHD
80,Dell,Ultrabook,15.6,medium,1920,1080,141,0,1,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.9,58403,FHD
81,Apple,Ultrabook,12,small,2304,1440,226,0,1,Intel,Core i5,1.3,8,512,SSD,0,None,Intel,mac,0.9,80453,QHD
82,HP,Notebook,14,medium,1920,1080,157,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.6,45821,FHD
83,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,AMD,A6-Series 9220,2.5,4,128,SSD,0,None,AMD,windows,2.2,21259,FHD
84,Acer,Notebook,15.6,medium,1366,768,100,0,0,AMD,A9-Series 9420,3,4,1024,HDD,0,None,AMD,windows,2.1,21046,HD
85,Dell,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,16,128,SSD,1024,HDD,Nvidia,windows,2.7,71875,FHD
86,HP,Ultrabook,15.6,medium,1920,1080,141,0,1,Intel,Core i7,1.8,8,256,SSD,0,None,Nvidia,windows,1.8,37243,FHD
87,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,256,SSD,0,None,Intel,windows,2,31914,FHD
88,Asus,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,16,128,SSD,1024,HDD,Nvidia,windows,2.2,77203,FHD
89,Dell,Ultrabook,13.3,small,1920,1080,166,0,1,Intel,Core i7,1.8,8,256,SSD,0,None,Intel,windows,1.2,87859,FHD
90,Asus,Gaming,15.6,medium,1920,1080,141,0,0,AMD,FX 9830P,3,8,1024,HDD,0,None,AMD,windows,2.5,37243,FHD
91,Acer,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,4,1024,HDD,0,None,Nvidia,windows,2.2,36710,FHD
92,HP,Notebook,13.3,small,1920,1080,166,0,0,Intel,Core i7,1.8,16,512,SSD,0,None,Intel,windows,1.5,63776,FHD
93,Dell,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,256,SSD,0,None,Nvidia,windows,2.7,63670,FHD
94,Asus,Ultrabook,14,medium,1920,1080,157,0,0,Intel,Core i7,2.7,8,256,SSD,0,None,Intel,windows,1.3,55891,FHD
95,Acer,2 in 1 Convertible,13.3,small,1920,1080,166,1,1,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.5,45128,FHD
96,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.7,8,1024,HDD,0,None,AMD,linux,2.2,31963,FHD
97,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,256,SSD,0,None,AMD,linux,2.2,25841,FHD
98,Asus,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2.4,6,256,SSD,0,None,Nvidia,windows,2,30743,FHD
99,HP,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,12,128,SSD,1024,HDD,Nvidia,windows,2.6,66547,FHD
100,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.7,8,256,SSD,0,None,AMD,windows,1.9,38308,FHD
101,HP,Notebook,15.6,medium,1920,1080,141,0,0,AMD,E-Series E2-9000e,1.5,4,500,HDD,0,None,AMD,windows,2.1,18595,FHD
102,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,1.6,8,1024,HDD,0,None,AMD,linux,2.2,34472,FHD
103,HP,Ultrabook,13.3,small,1920,1080,166,0,1,Intel,Core i7,2.7,8,256,SSD,0,None,Nvidia,windows,1.4,59620,FHD
104,Microsoft,Ultrabook,13.5,medium,2256,1504,201,1,0,Intel,Core i5,2.5,8,256,SSD,0,None,Intel,windows,1.3,71395,QHD
105,HP,Notebook,14,medium,1920,1080,157,0,1,Intel,Core i5,2.5,6,256,SSD,0,None,Nvidia,windows,1.6,35112,FHD
106,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,1024,HDD,0,None,Intel,windows,1.9,22106,FHD
107,Asus,Ultrabook,14,medium,1920,1080,157,0,1,Intel,Core i7,2.7,8,256,SSD,0,None,Nvidia,windows,1.3,63563,FHD
108,MSI,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,16,256,SSD,1024,HDD,Nvidia,windows,2.2,69211,FHD
109,Lenovo,Notebook,14,medium,1920,1080,157,0,1,Intel,Core i7,2.7,8,256,SSD,0,None,Intel,windows,1.6,78854,FHD
110,Asus,Ultrabook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,16,256,SSD,1024,HDD,Nvidia,windows,1.5,67239,FHD
111,Dell,Ultrabook,13.3,small,3200,1800,276,1,0,Intel,Core i7,2.4,8,256,SSD,0,None,Intel,windows,1.2,73473,UHD
112,Lenovo,2 in 1 Convertible,13.3,small,1920,1080,166,1,1,Intel,Core i5,2.5,8,256,SSD,0,None,Intel,windows,1.4,74539,FHD
113,HP,Notebook,14,medium,1366,768,112,0,1,Intel,Core i5,1.6,4,500,HDD,0,None,Intel,windows,1.6,38468,HD
114,Dell,Ultrabook,13.3,small,1920,1080,166,0,1,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.2,86793,FHD
116,HP,Notebook,14,medium,1920,1080,157,0,0,Intel,Core i7,1.8,8,512,SSD,0,None,Intel,windows,1.6,57756,FHD
117,Dell,Notebook,15.6,medium,1920,1080,141,0,1,Intel,Core i7,1.8,8,256,SSD,1024,HDD,Nvidia,windows,2.2,60224,FHD
118,Asus,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i3,2,4,1024,HDD,0,None,Nvidia,windows,2,30050,FHD
119,Asus,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,8,256,SSD,0,None,Nvidia,windows,1.7,59567,FHD
120,Acer,Notebook,15.6,medium,1920,1080,141,1,1,Intel,Core i3,2.4,6,1024,HDD,0,None,Intel,windows,2.1,25521,FHD
121,MSI,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,16,256,SSD,2048,HDD,Nvidia,windows,1.8,119427,FHD
122,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,256,SSD,0,None,Nvidia,no os,2.2,33513,FHD
123,HP,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i7,1.8,16,512,SSD,0,None,Nvidia,windows,2.5,67719,FHD
124,Acer,Notebook,15.6,medium,1366,768,100,0,0,AMD,A9-Series 9420,3,4,256,SSD,0,None,AMD,windows,2.1,24029,HD
126,HP,Notebook,14,medium,1920,1080,157,0,0,Intel,Core i5,1.6,8,1024,HDD,0,None,Intel,windows,1.6,43263,FHD
127,Asus,Notebook,14,medium,1366,768,112,0,0,AMD,E-Series 6110,1.5,4,64,SSD,0,None,AMD,windows,1.7,14811,HD
128,Dell,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i7,1.8,16,256,SSD,2048,HDD,AMD,windows,2.8,74379,FHD
129,HP,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,2.5,49444,FHD
130,Dell,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,8,1024,HDD,0,None,AMD,windows,2.4,34045,HD
131,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,1024,HDD,0,None,AMD,windows,2.2,23923,FHD
132,Acer,Ultrabook,14,medium,1920,1080,157,0,1,Intel,Core i7,1.8,8,256,SSD,0,None,Intel,windows,1.6,47100,FHD
133,Acer,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2.7,4,256,SSD,0,None,Nvidia,windows,1.8,30476,FHD
134,HP,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i7,2.7,8,1024,HDD,0,None,Intel,windows,2.1,31861,HD
135,HP,Notebook,14,medium,1920,1080,157,0,0,Intel,Core i7,1.8,8,256,SSD,0,None,Intel,windows,1.6,52641,FHD
136,Lenovo,Notebook,15.6,medium,1366,768,100,0,0,Intel,Celeron Dual,1.1,4,1024,HDD,0,None,Intel,no os,1.9,13446,HD
137,Asus,Gaming,17.3,large,1920,1080,127,0,0,Intel,Core i5,2.5,8,128,SSD,1024,HDD,Nvidia,windows,3,49977,FHD
138,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,4,1024,HDD,0,None,Nvidia,no os,2.2,26587,FHD
139,HP,Notebook,13.3,small,1920,1080,166,0,1,Intel,Core i5,2.5,4,256,SSD,0,None,Intel,windows,1.3,37243,FHD
140,Acer,Notebook,17.3,large,1920,1080,127,0,1,Intel,Core i3,2.7,4,1024,HDD,0,None,Nvidia,windows,3,34898,FHD
141,Lenovo,Notebook,14,medium,1920,1080,157,0,1,Intel,Core i5,1.6,8,256,SSD,0,None,AMD,windows,1.8,59462,FHD
142,Lenovo,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,8,256,SSD,0,None,Nvidia,no os,2.4,46300,FHD
143,Toshiba,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.3,4,500,HDD,0,None,Intel,windows,2.1,32075,HD
144,HP,Notebook,15.6,medium,1366,768,100,0,0,AMD,A6-Series 9220,2.5,4,256,SSD,0,None,AMD,windows,1.9,19660,HD
145,Asus,Ultrabook,14,medium,1920,1080,157,0,0,Intel,Core i7,1.8,8,256,SSD,0,None,Intel,windows,1.3,58555,FHD
146,HP,Ultrabook,12.5,small,3840,2160,352,1,1,Intel,Core M,1.2,8,512,SSD,0,None,Intel,windows,1,107306,UHD
147,Asus,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Celeron Dual,1.1,4,1024,HDD,0,None,Intel,windows,2,18328,FHD
149,Acer,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2,4,1024,HDD,0,None,Intel,windows,2.1,23816,HD
150,Dell,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,16,512,SSD,0,None,Nvidia,windows,2.6,66561,FHD
151,Dell,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,8,1024,Hybrid,0,None,Nvidia,windows,2.6,47899,FHD
152,Lenovo,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,4,128,SSD,0,None,Intel,windows,1.9,26533,HD
153,MSI,Gaming,17.3,large,1920,1080,127,0,0,Intel,Core i7,2.8,16,256,SSD,1024,HDD,Nvidia,windows,2.8,100699,FHD
154,HP,Ultrabook,14,medium,1920,1080,157,0,0,Intel,Core i5,2.7,4,256,SSD,0,None,Intel,windows,1.5,57649,FHD
155,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,1.6,6,256,SSD,0,None,AMD,windows,1.9,32980,FHD
156,Lenovo,2 in 1 Convertible,14,medium,1920,1080,157,1,1,Intel,Core i3,2.4,4,256,SSD,0,None,Intel,windows,1.7,33513,FHD
157,Asus,2 in 1 Convertible,13.3,small,1920,1080,166,1,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.1,70063,FHD
158,Dell,2 in 1 Convertible,15.6,medium,1920,1080,141,1,0,Intel,Core i7,1.8,8,256,SSD,0,None,Intel,windows,1.6,55891,FHD
159,Toshiba,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2.2,4,500,HDD,0,None,Intel,windows,2.1,23816,HD
160,Asus,Notebook,15.6,medium,1366,768,100,0,0,AMD,A9-Series 9420,3,4,1024,HDD,0,None,AMD,windows,2,21472,HD
161,Acer,Notebook,17.3,large,1920,1080,127,0,1,Intel,Core i5,1.6,4,256,SSD,0,None,Nvidia,windows,3,42890,FHD
162,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,AMD,windows,2.1,38788,FHD
163,Lenovo,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,16,256,SSD,0,None,Nvidia,windows,2.5,57489,FHD
164,Acer,Notebook,15.6,medium,1366,768,100,0,0,Intel,Celeron Dual,1.1,4,1024,HDD,0,None,Intel,windows,2.1,18541,HD
165,MSI,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i7,2.8,16,256,SSD,1024,HDD,Nvidia,windows,2.4,95851,FHD
166,Acer,Notebook,15.6,medium,1366,768,100,0,0,Intel,Pentium Quad,1.1,4,1024,HDD,0,None,Intel,windows,2.1,19368,HD
167,Dell,Gaming,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.8,8,128,SSD,1024,HDD,Nvidia,windows,2.6,56503,FHD
168,Acer,Notebook,17.3,large,1920,1080,127,0,1,Intel,Core i5,1.6,8,256,SSD,0,None,Nvidia,windows,3,45501,FHD
169,HP,Notebook,13.3,small,1920,1080,166,0,1,Intel,Core i5,1.6,4,500,HDD,0,None,Intel,windows,1.5,40173,FHD
170,Huawei,Ultrabook,13,small,2160,1440,200,0,1,Intel,Core i5,2.5,8,256,SSD,0,None,Intel,windows,1.1,71875,QHD
171,HP,Notebook,17.3,large,1920,1080,127,0,1,Intel,Core i5,2.5,6,2048,HDD,0,None,AMD,windows,2.7,37243,FHD
172,Lenovo,Notebook,15.6,medium,1366,768,100,0,0,AMD,A6-Series 9220,2.9,4,500,HDD,0,None,AMD,no os,2.2,16464,HD
173,Toshiba,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2.4,4,500,HDD,0,None,Intel,windows,2.2,26054,HD
174,HP,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Nvidia,windows,2.5,49177,FHD
175,Dell,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2.4,8,1024,HDD,0,None,Intel,windows,2.3,24456,HD
176,Acer,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2,4,128,SSD,0,None,Intel,windows,2.1,23923,HD
177,MSI,Gaming,18.4,large,1920,1080,120,0,0,Intel,Core i7,2.9,32,512,SSD,1024,HDD,Nvidia,windows,4.4,149131,FHD
178,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,128,SSD,1024,HDD,AMD,windows,1.9,43317,FHD
179,HP,2 in 1 Convertible,13.3,small,3840,2160,331,1,1,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.3,79867,UHD
180,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,16,256,SSD,2048,HDD,AMD,linux,2,55891,FHD
181,Dell,Ultrabook,13.3,small,1920,1080,166,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.2,74539,FHD
182,Lenovo,2 in 1 Convertible,13.9,medium,3840,2160,317,1,1,Intel,Core i7,1.8,16,512,SSD,0,None,Intel,windows,1.4,98515,UHD
183,Toshiba,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,8,128,SSD,0,None,Intel,windows,2,42251,HD
184,Xiaomi,Notebook,15.6,medium,1920,1080,141,0,1,Intel,Core i5,1.6,8,256,SSD,0,None,Nvidia,no os,2,63883,FHD
185,Dell,Notebook,17.3,large,1920,1080,127,1,0,Intel,Core i7,1.8,16,512,SSD,0,None,Nvidia,windows,2.8,82531,FHD
186,Dell,Notebook,15.6,medium,3840,2160,282,1,0,Intel,Core i7,2.8,16,512,SSD,0,None,Nvidia,windows,2.1,127712,UHD
187,Lenovo,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i5,2.5,8,256,SSD,0,None,Nvidia,no os,2.4,41505,FHD
188,Acer,Ultrabook,13.3,small,1920,1080,166,0,1,Intel,Core i5,1.2,8,256,SSD,0,None,Intel,windows,1.1,52694,FHD
189,Dell,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i7,1.8,8,128,SSD,1024,HDD,AMD,windows,2.8,57809,FHD
191,Vero,Notebook,14,medium,1920,1080,157,0,1,Intel,Celeron Dual,1.1,4,32,Flash,0,None,Intel,windows,1.3,13853,FHD
